index,id,userID,name,task_type,tools_required,rating,career_stage,urgency,importance,keywords
90,29,235,Create TikTok content calendar,Social Media Content Creation,TikTok,8.2,emerging,4,4,"content, promotion, viral"
91,52,236,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",8.6,emerging,5,5,"engagement, community, growth"
92,73,237,Submit for playlist consideration,Playlist Pitching,"Spotify, SoundCloud",8.7,established,4,5,"playlists, promotion, growth"
93,82,238,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.1,emerging,5,5,"release, promotion, marketing"
94,91,239,Design Instagram Reels strategy,Social Media Content Creation,Instagram,8.4,established,4,4,"content, strategy, engagement"
95,3,240,Plan music release campaign,Music Release Planning,"Spotify, Instagram, TikTok",8.5,beginner,4,5,"release, marketing, promotion"
96,19,241,Set up Discord community,Community Management,Discord,8.8,established,5,4,"community, engagement, growth"
97,29,242,Create TikTok content calendar,Social Media Content Creation,TikTok,8.3,emerging,4,4,"content, promotion, viral"
98,52,243,Engage with fan comments,Fan Engagement,"Instagram, Twitter, Facebook",8.5,emerging,5,5,"engagement, community, growth"
99,82,244,Plan release day promotion,Music Release Planning,"Spotify, Instagram, Twitter",9.3,established,5,5,"release, promotion, marketing"
